avg_dwell,avg_flight,speed,pauses,errors,label
0.153,0.176,5.83,0,1,low
0.174,0.17,5.19,0,2,low
0.27,0.22,3.76,2,3,high
0.228,0.258,3.26,3,2,high
0.242,0.297,3.21,4,5,high
0.166,0.135,5.15,0,1,low
0.22,0.252,3.13,5,4,high
0.223,0.248,3.24,5,5,high
0.151,0.113,5.45,1,0,low
0.172,0.122,5.85,0,2,low
0.142,0.136,5.15,0,2,low
0.196,0.171,5.78,2,1,low
0.155,0.11,5.45,1,1,low
0.243,0.241,4.49,4,3,high
0.2,0.135,5.87,1,1,low
0.232,0.274,4.1,5,2,high
0.169,0.18,5.27,1,2,low
0.191,0.177,5.47,1,1,low
0.276,0.273,4.04,4,2,high
0.23,0.242,4.07,5,5,high
0.183,0.143,5.77,2,0,low
0.223,0.299,4.08,4,5,high
0.176,0.133,5.83,1,2,low
0.283,0.21,3.44,3,4,high
0.252,0.284,4.09,2,4,high
0.232,0.297,4.48,4,5,high
0.241,0.253,4.14,5,5,high
0.222,0.208,4.29,2,4,high
0.227,0.209,4.26,3,3,high
0.195,0.136,5.96,1,0,low
0.277,0.248,4.09,4,5,high
0.225,0.206,3.92,5,2,high
0.161,0.114,5.97,2,1,low
0.157,0.107,5.29,2,1,low
0.184,0.141,5.54,2,2,low
0.176,0.116,5.33,2,1,low
0.157,0.146,5.56,1,0,low
0.161,0.118,5.81,1,2,low
0.253,0.281,4.03,5,5,high
0.161,0.169,5.52,1,0,low
0.252,0.245,3.69,2,2,high
0.241,0.263,3.32,5,2,high
0.15,0.142,5.68,2,1,low
0.283,0.271,4.24,5,2,high
0.231,0.298,3.46,3,4,high
0.291,0.245,3.07,3,5,high
0.249,0.299,3.52,3,3,high
0.276,0.263,3.34,2,4,high
0.229,0.231,3.73,5,3,high
0.266,0.275,4.39,2,2,high
0.283,0.208,3.54,4,2,high
0.255,0.263,4.39,3,3,high
0.247,0.268,4.15,3,5,high
0.284,0.225,3.81,2,4,high
0.28,0.26,3.4,3,2,high
0.172,0.109,5.19,2,2,low
0.182,0.127,5.8,0,0,low
0.153,0.174,5.11,2,1,low
0.293,0.267,4.4,5,5,high
0.18,0.105,5.91,2,2,low
0.199,0.108,5.83,0,1,low
0.246,0.295,3.36,5,2,high
0.163,0.133,5.28,0,1,low
0.194,0.174,5.12,0,0,low
0.289,0.278,4.28,3,5,high
0.273,0.212,3.7,5,3,high
0.198,0.13,5.88,1,0,low
0.166,0.118,5.62,1,1,low
0.197,0.165,5.63,0,2,low
0.279,0.295,3.77,4,5,high
0.176,0.149,5.25,0,2,low
0.231,0.27,3.11,4,4,high
0.151,0.164,5.66,2,2,low
0.252,0.201,4.31,2,4,high
0.193,0.126,5.29,0,1,low
0.144,0.168,5.27,0,0,low
0.191,0.166,5.52,0,2,low
0.241,0.251,4.35,5,4,high
0.259,0.227,3.34,2,2,high
0.197,0.125,5.04,2,1,low
0.18,0.151,5.16,2,2,low
0.282,0.267,3.18,2,5,high
0.225,0.237,3.28,4,5,high
0.275,0.207,3.23,2,2,high
0.28,0.232,3.18,2,3,high
0.194,0.159,5.06,1,0,low
0.187,0.132,5.77,0,1,low
0.248,0.231,3.12,5,4,high
0.171,0.124,5.55,2,1,low
0.223,0.263,4.44,3,3,high
0.239,0.274,3.74,5,3,high
0.144,0.114,5.04,1,2,low
0.274,0.274,3.8,5,3,high
0.19,0.141,5.28,2,0,low
0.145,0.143,5.75,1,0,low
0.249,0.214,3.66,3,3,high
0.181,0.11,5.92,2,2,low
0.241,0.259,3.6,2,3,high
0.198,0.158,5.16,0,2,low
0.182,0.16,5.47,1,1,low
0.173,0.164,5.8,0,0,low
0.257,0.295,4.32,4,5,high
0.238,0.214,4.05,2,5,high
0.254,0.201,3.97,2,3,high
0.18,0.141,5.03,2,2,low
0.183,0.121,5.78,2,2,low
0.199,0.129,5.09,2,1,low
0.232,0.207,4.16,2,3,high
0.167,0.144,5.32,1,1,low
0.268,0.251,3.23,2,5,high
0.272,0.205,3.1,5,5,high
0.221,0.214,4.38,3,4,high
0.232,0.282,3.47,2,5,high
0.223,0.277,4.48,5,2,high
0.267,0.201,3.61,4,3,high
0.195,0.153,5.88,0,2,low
0.148,0.111,5.8,0,1,low
0.172,0.116,5.17,0,0,low
0.245,0.24,4.05,2,3,high
0.163,0.156,5.42,2,1,low
0.249,0.292,3.58,2,5,high
0.174,0.168,5.85,0,2,low
0.16,0.132,5.78,2,1,low
0.193,0.172,5.66,1,1,low
0.236,0.219,3.35,3,5,high
0.143,0.121,5.3,0,0,low
0.193,0.167,5.17,0,0,low
0.155,0.156,5.23,1,2,low
0.166,0.106,5.31,0,2,low
0.159,0.102,5.77,1,0,low
0.22,0.277,3.68,3,4,high
0.179,0.118,5.57,0,1,low
0.264,0.282,3.75,3,2,high
0.195,0.151,5.19,1,2,low
0.227,0.213,4.45,4,5,high
0.257,0.209,4.07,4,5,high
0.155,0.129,5.95,2,2,low
0.294,0.222,4.15,3,3,high
0.257,0.263,3.15,5,2,high
0.269,0.248,3.22,3,3,high
0.295,0.22,3.54,3,5,high
0.273,0.208,3.66,2,5,high
0.164,0.149,5.62,2,1,low
0.262,0.242,3.88,5,2,high
0.189,0.176,5.86,1,1,low
0.163,0.162,5.36,2,1,low
0.172,0.122,5.67,2,2,low
0.223,0.298,3.91,2,5,high
0.232,0.267,4.09,2,3,high
0.144,0.158,5.8,2,2,low
0.294,0.29,3.6,4,5,high
0.245,0.267,3.81,5,4,high
0.259,0.272,4.23,2,2,high
0.14,0.138,5.74,2,0,low
0.242,0.293,3.34,2,3,high
0.267,0.241,3.64,5,5,high
0.197,0.113,5.38,2,0,low
0.266,0.295,3.58,5,4,high
0.277,0.21,3.7,4,3,high
0.294,0.265,3.6,3,4,high
0.198,0.131,5.91,1,1,low
0.279,0.252,3.79,4,3,high
0.17,0.155,5.73,1,1,low
0.23,0.234,3.59,2,2,high
