avg_dwell,avg_flight,speed,pauses,errors,label
0.082,0.41,1.8,2,0,low
0.087,0.775,0.99,2,1,low
0.098,0.716,0.68,14,11,low
0.088,0.244,2.53,27,9,low
0.086,0.325,1.87,13,18,low
0.11,0.561,1.13,27,19,low
0.022,0.196,3.84,2,0,high
0.16,0.13,5.0,0,0,high
0.2,0.21,5.0,1,0,high
0.317,0.211,5.0,1,0,low
0.317,0.267,5.0,1,0,low
0.317,0.191,5.0,1,0,low
0.14,0.17,4.5,0,0,high
0.14,0.17,4.5,0,2,high
0.14,0.17,4.5,0,0,high
0.13,0.13,6.0,4,1,high
0.13,0.13,6.0,3,1,high
0.138,0.12,6.0,0,1,high
0.137,0.134,6.0,0,0,high
0.143,0.133,6.0,1,0,high
0.126,0.133,6.0,1,0,high
0.141,0.131,6.0,0,1,high
0.146,0.103,6.0,0,1,high
0.142,0.103,6.0,1,0,high
0.13,0.118,6.0,0,0,high
0.133,0.117,6.0,0,0,high
0.135,0.135,6.0,0,1,high
0.146,0.117,6.0,0,1,high
