key,event,timestamp,flight_time,cognitive_load
Key.enter,release,1752514819.750376,,high
s,press,1752514821.3065436,1.5561676025390625,high
s,release,1752514821.416239,,high
u,press,1752514821.4181223,0.0018832683563232422,high
u,release,1752514821.4715543,,high
m,press,1752514821.5819154,0.11036109924316406,high
m,release,1752514821.6741056,,high
a,press,1752514821.6964986,0.022392988204956055,high
n,press,1752514821.7940636,0.11995792388916016,high
a,release,1752514821.8128824,,high
n,release,1752514821.8993666,,high
t,press,1752514821.934241,0.03487443923950195,high
t,release,1752514822.011318,,high
h,press,1752514822.0500095,0.03869152069091797,high
h,release,1752514822.1116025,,high
Key.space,press,1752514822.1815443,0.06994175910949707,high
Key.space,release,1752514822.2451262,,high
d,press,1752514822.465509,0.2203826904296875,high
h,press,1752514822.5494416,0.30431532859802246,high
d,release,1752514822.5965347,,high
h,release,1752514822.6324437,,high
i,press,1752514822.6346798,0.0022361278533935547,high
o,press,1752514822.645803,0.013359308242797852,high
o,release,1752514822.6617053,,high
i,release,1752514822.7219758,,high
h,press,1752514822.765412,0.043436288833618164,high
w,press,1752514822.7737825,0.05180668830871582,high
h,release,1752514822.8486774,,high
w,release,1752514822.9790597,,high
o,press,1752514823.334409,0.3553493022918701,high
o,release,1752514823.3483973,,high
i,press,1752514823.3500586,0.0016613006591796875,high
i,release,1752514823.3563313,,high
g,press,1752514823.3856003,0.029268980026245117,high
g,release,1752514823.4062934,,high
e,press,1752514823.498489,0.09219551086425781,high
w,press,1752514823.5008657,0.09457230567932129,high
b,press,1752514823.5353699,0.12907648086547852,high
b,release,1752514823.60081,,high
e,release,1752514823.61686,,high
c,press,1752514823.6187584,0.0018985271453857422,high
c,release,1752514823.6587522,,high
w,release,1752514823.7004545,,high
k,press,1752514823.7482893,0.04783487319946289,high
k,release,1752514823.75844,,high
p,press,1752514823.7782454,0.019805431365966797,high
p,release,1752514823.8689902,,high
k,press,1752514823.8923018,0.023311614990234375,high
k,release,1752514823.9490347,,high
w,press,1752514823.99323,0.04419541358947754,high
[,press,1752514823.9950602,0.04602551460266113,high
[,release,1752514824.0047045,,high
w,release,1752514824.0448937,,high
Key.space,press,1752514825.7983756,1.7534818649291992,high
Key.space,release,1752514825.9034362,,high
Key.esc,press,1752514826.175974,0.2725377082824707,high
Key.esc,release,1752514826.2558725,,high
